filename,filepath,condition,voltage,noise,run,true_label,mse
imbalance_12V_quiet_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run06.wav,imbalance,12V,quiet,6,1,102.0277328491211
imbalance_12V_quiet_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run07.wav,imbalance,12V,quiet,7,1,100.71310424804688
imbalance_12V_quiet_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run08.wav,imbalance,12V,quiet,8,1,103.904052734375
imbalance_12V_quiet_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run09.wav,imbalance,12V,quiet,9,1,90.10302734375
imbalance_12V_quiet_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run10.wav,imbalance,12V,quiet,10,1,86.70417022705078
imbalance_4V_noise_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run01.wav,imbalance,4V,noise,1,1,43.76752853393555
imbalance_4V_noise_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run02.wav,imbalance,4V,noise,2,1,43.428775787353516
imbalance_4V_noise_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run03.wav,imbalance,4V,noise,3,1,42.55341720581055
imbalance_4V_noise_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run04.wav,imbalance,4V,noise,4,1,42.60560989379883
imbalance_4V_noise_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run05.wav,imbalance,4V,noise,5,1,39.62571716308594
imbalance_4V_noise_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run06.wav,imbalance,4V,noise,6,1,41.51604080200195
imbalance_4V_noise_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run07.wav,imbalance,4V,noise,7,1,39.63774490356445
imbalance_4V_noise_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run08.wav,imbalance,4V,noise,8,1,41.029048919677734
imbalance_4V_noise_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run09.wav,imbalance,4V,noise,9,1,40.30438232421875
imbalance_4V_noise_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run10.wav,imbalance,4V,noise,10,1,40.07059860229492
imbalance_4V_quiet_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run01.wav,imbalance,4V,quiet,1,1,81.89301300048828
imbalance_4V_quiet_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run02.wav,imbalance,4V,quiet,2,1,73.27960968017578
imbalance_4V_quiet_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run03.wav,imbalance,4V,quiet,3,1,74.1003646850586
imbalance_4V_quiet_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run04.wav,imbalance,4V,quiet,4,1,73.26660919189453
imbalance_4V_quiet_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run05.wav,imbalance,4V,quiet,5,1,74.65573120117188
imbalance_4V_quiet_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run06.wav,imbalance,4V,quiet,6,1,76.34629821777344
imbalance_4V_quiet_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run07.wav,imbalance,4V,quiet,7,1,74.9094467163086
imbalance_4V_quiet_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run08.wav,imbalance,4V,quiet,8,1,83.4500732421875
imbalance_4V_quiet_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run09.wav,imbalance,4V,quiet,9,1,70.71549224853516
imbalance_4V_quiet_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\quiet\imbalance_4V_quiet_run10.wav,imbalance,4V,quiet,10,1,72.65412902832031
imbalance_8V_noise_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run01.wav,imbalance,8V,noise,1,1,67.41040802001953
imbalance_8V_noise_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run02.wav,imbalance,8V,noise,2,1,66.2198257446289
imbalance_8V_noise_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run03.wav,imbalance,8V,noise,3,1,71.20571899414062
imbalance_8V_noise_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run04.wav,imbalance,8V,noise,4,1,60.36895751953125
imbalance_8V_noise_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run05.wav,imbalance,8V,noise,5,1,62.55638122558594
imbalance_8V_noise_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run06.wav,imbalance,8V,noise,6,1,62.58174133300781
imbalance_8V_noise_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run07.wav,imbalance,8V,noise,7,1,62.167274475097656
imbalance_8V_noise_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run08.wav,imbalance,8V,noise,8,1,60.65513229370117
imbalance_8V_noise_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run09.wav,imbalance,8V,noise,9,1,60.528682708740234
imbalance_8V_noise_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\noise\imbalance_8V_noise_run10.wav,imbalance,8V,noise,10,1,60.327632904052734
imbalance_8V_quiet_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\quiet\imbalance_8V_quiet_run01.wav,imbalance,8V,quiet,1,1,87.91694641113281
imbalance_8V_quiet_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\quiet\imbalance_8V_quiet_run02.wav,imbalance,8V,quiet,2,1,91.84255981445312
imbalance_8V_quiet_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\8V\quiet\imbalance_8V_quiet_run03.wav,imbalance,8V,quiet,3,1,83.2378921508789
