filename,filepath,condition,voltage,noise,run,true_label,mse
imbalance_12V_noise_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run02.wav,imbalance,12V,noise,2,1,72.29993438720703
imbalance_12V_noise_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run03.wav,imbalance,12V,noise,3,1,68.31340026855469
imbalance_12V_noise_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run04.wav,imbalance,12V,noise,4,1,68.4774398803711
imbalance_12V_noise_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run05.wav,imbalance,12V,noise,5,1,64.96187591552734
imbalance_12V_noise_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run06.wav,imbalance,12V,noise,6,1,63.70804977416992
imbalance_12V_noise_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run07.wav,imbalance,12V,noise,7,1,65.57315826416016
imbalance_12V_noise_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run08.wav,imbalance,12V,noise,8,1,67.53099822998047
imbalance_12V_noise_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run09.wav,imbalance,12V,noise,9,1,65.66083526611328
imbalance_12V_noise_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run10.wav,imbalance,12V,noise,10,1,69.66039276123047
imbalance_12V_quiet_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run01.wav,imbalance,12V,quiet,1,1,97.05316925048828
imbalance_12V_quiet_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run02.wav,imbalance,12V,quiet,2,1,90.69502258300781
imbalance_12V_quiet_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run03.wav,imbalance,12V,quiet,3,1,91.51618957519531
imbalance_12V_quiet_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run04.wav,imbalance,12V,quiet,4,1,95.78193664550781
imbalance_12V_quiet_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run05.wav,imbalance,12V,quiet,5,1,100.05913543701172
imbalance_12V_quiet_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run06.wav,imbalance,12V,quiet,6,1,105.08854675292969
imbalance_12V_quiet_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run07.wav,imbalance,12V,quiet,7,1,106.72107696533203
imbalance_12V_quiet_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run08.wav,imbalance,12V,quiet,8,1,106.75666046142578
imbalance_12V_quiet_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run09.wav,imbalance,12V,quiet,9,1,84.01284790039062
imbalance_12V_quiet_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\quiet\imbalance_12V_quiet_run10.wav,imbalance,12V,quiet,10,1,78.33142852783203
imbalance_4V_noise_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\4V\noise\imbalance_4V_noise_run01.wav,imbalance,4V,noise,1,1,30.5282039642334
